,Score,Druggability Score,Number of Alpha Spheres,Total SASA,Polar SASA,Apolar SASA,Volume,Mean local hydrophobic density,Mean alpha sphere radius :,Mean alp. sph. solvent access,Apolar alpha sphere proportion,Hydrophobicity score:,Volume score: ,Polarity score:,Charge score :,Proportion of polar atoms: ,Alpha sphere density,Cent. of mass - Alpha Sphere max dist: ,Flexibility,pocket_number,protein
2,0.024,0.004,18,65.058,10.715,54.343,267.065,9.000,3.986,0.755,0.556,53.000, 4.000, 2, 0,33.333,2.930,6.948,0.690,3,Protein_3a
3,0.015,0.002,27,71.507,40.109,31.398,193.669,8.000,3.659,0.368,0.333,5.875, 4.625, 6, 1,45.455,2.770,5.693,0.364,4,Protein_3a
4,0.014,0.001,25,91.027,43.930,47.097,335.492,12.000,3.741,0.478,0.520,54.750, 5.250, 6, 0,33.333,3.609,7.483,0.810,5,Protein_3a
5,-0.003,0.002,35,117.839,55.043,62.797,437.382,10.615,4.036,0.639,0.371,15.182, 3.909, 7, -1,43.333,4.205,10.088,0.683,6,Protein_3a
6,-0.006,0.001,15,68.295,24.821,43.475,273.739,6.000,4.105,0.583,0.467,17.111, 4.444, 7, 2,38.889,2.846,5.946,0.500,7,Protein_3a
7,-0.011,0.013,17,78.813,0.000,78.813,212.721,11.846,3.843,0.683,0.765,59.600, 3.400, 0, 0,26.667,3.238,7.694,0.500,8,Protein_3a
8,-0.019,0.231,34,132.792,13.079,119.714,393.485,22.276,3.746,0.518,0.853,49.417, 4.333, 6, 1,24.242,4.776,11.505,0.545,9,Protein_3a
9,-0.025,0.001,16,85.453,11.808,73.645,338.488,5.000,4.222,0.617,0.375,3.857, 3.429, 4, 1,47.059,3.384,6.945,0.794,10,Protein_3a
10,-0.030,0.010,17,66.283,1.071,65.212,157.754,14.000,3.788,0.642,0.882,74.000, 4.600, 1, 0,26.667,2.467,5.626,0.267,11,Protein_3a
11,-0.039,0.001,24,74.665,39.644,35.021,160.226,8.000,3.677,0.378,0.375,58.444, 5.222, 6, -1,41.176,2.454,5.066,0.882,12,Protein_3a
12,-0.066,0.000,20,104.931,59.041,45.890,328.403,2.000,3.989,0.513,0.150,-6.625, 3.750, 7, -2,52.632,3.594,10.121,1.000,13,Protein_3a
13,-0.069,0.006,34,104.558,42.969,61.589,275.720,10.333,3.862,0.377,0.353,71.500, 5.750, 4, 0,35.000,3.098,8.665,0.950,14,Protein_3a
14,-0.079,0.002,15,88.554,17.165,71.388,266.908,9.000,4.038,0.714,0.667,33.500, 5.167, 4, 2,37.500,2.962,5.283,0.312,15,Protein_3a
15,-0.081,0.002,22,135.733,54.821,80.911,366.023,5.000,3.856,0.450,0.273,6.556, 3.222, 5, -1,50.000,4.704,12.082,1.000,16,Protein_3a
16,-0.111,0.169,29,107.137,3.281,103.856,274.433,26.000,3.736,0.416,0.931,68.125, 5.125, 2, 1,23.810,2.875,7.291,0.429,17,Protein_3a
17,-0.120,0.236,39,107.579,18.215,89.364,290.351,30.875,4.069,0.522,0.821,42.750, 4.375, 5, 1,25.926,2.471,7.719,0.500,18,Protein_3a
18,-0.157,0.000,16,89.978,42.880,47.098,209.367,1.000,4.024,0.522,0.125,8.833, 5.500, 6, 1,40.000,2.144,4.873,0.633,19,Protein_3a
19,-0.161,0.001,19,94.897,42.969,51.928,250.359,10.000,4.002,0.505,0.579,7.200, 2.900, 7, -1,44.444,2.176,5.041,1.000,20,Protein_3a
20,-0.161,0.001,32,174.920,87.970,86.949,473.074,3.667,4.031,0.393,0.188,54.250, 4.500, 6, 1,50.000,5.035,12.171,0.958,21,Protein_3a
21,-0.165,0.021,43,151.357,35.425,115.932,443.299,13.882,4.100,0.506,0.395,-5.800, 3.000, 7, 1,39.286,3.663,9.817,1.000,22,Protein_3a
22,-0.181,0.001,24,116.384,45.134,71.250,353.091,14.000,4.232,0.457,0.625,18.444, 3.778, 6, 0,31.579,2.689,6.638,1.000,23,Protein_3a
23,-0.221,0.015,18,121.429,12.029,109.399,267.331,17.000,3.893,0.532,1.000,64.000, 5.000, 1, 1,6.250,2.774,6.287,0.500,24,Protein_3a
24,-0.255,0.208,38,186.646,23.616,163.030,540.190,26.500,4.051,0.533,0.737,66.364, 4.182, 2, 0,21.875,4.331,9.685,0.797,25,Protein_3a
25,-0.273,0.701,46,199.463,20.734,178.729,532.318,36.821,4.002,0.507,0.848,57.800, 3.933, 4, 0,24.242,4.185,9.965,0.530,26,Protein_3a
26,-0.293,0.542,66,282.136,61.140,220.996,690.673,29.857,3.823,0.404,0.636,46.133, 4.000, 7, -1,32.500,6.431,15.648,0.925,27,Protein_3a
27,-0.405,0.000,151,510.142,243.256,266.886,1585.992,14.100,4.026,0.480,0.265,24.077, 4.346, 15, 3,40.659,8.514,20.061,0.846,28,Protein_3a
0,0.326,0.038,45,96.377,40.826,55.551,288.452,18.400,3.794,0.479,0.444,10.462, 4.231, 7, -1,44.444,3.384,8.102,0.356,1,nsp4
1,0.261,0.554,36,82.650,15.023,67.627,337.073,31.879,3.928,0.527,0.917,37.000, 5.000, 4, 0,17.391,3.088,7.782,0.157,2,nsp4
2,0.211,0.082,20,66.420,0.000,66.420,176.712,15.667,3.610,0.617,0.900,61.000, 4.800, 1, 1,15.789,3.624,9.393,0.000,3,nsp4
3,0.193,0.084,16,110.307,6.451,103.856,379.497,10.000,3.933,0.719,0.938,67.000, 4.857, 3, 0,21.739,5.748,13.944,0.157,4,nsp4
4,0.169,0.001,34,126.931,71.380,55.551,378.819,7.000,3.828,0.477,0.294,3.125, 4.875, 7, 0,44.444,4.115,8.988,0.000,5,nsp4
5,0.161,0.001,17,16.112,6.451,9.661,71.660,5.000,3.544,0.450,0.353,53.375, 4.625, 3, 3,40.000,1.164,2.404,0.000,6,nsp4
6,0.141,0.034,27,101.727,11.808,89.919,279.685,16.778,3.774,0.627,0.667,35.875, 3.250, 3, 0,30.435,3.600,7.525,0.157,7,nsp4
7,0.134,0.003,27,80.442,34.552,45.890,238.724,12.000,3.961,0.552,0.481,27.273, 4.909, 7, 2,42.857,2.594,6.730,0.457,8,nsp4
8,0.124,0.000,22,58.892,31.117,27.775,150.599,4.000,3.781,0.448,0.227,38.429, 5.286, 5, 0,52.941,2.093,4.404,0.565,9,nsp4
9,0.121,0.003,21,69.941,30.089,39.852,190.805,11.000,3.808,0.392,0.571,31.571, 3.429, 2, 1,43.750,2.651,6.029,0.000,10,nsp4
10,0.117,0.000,19,82.795,44.151,38.644,316.592,4.000,4.002,0.656,0.263,28.889, 4.667, 6, 1,42.857,3.312,7.267,0.000,11,nsp4
11,0.112,0.179,25,105.692,5.379,100.312,258.398,22.667,3.769,0.618,0.960,62.000, 4.444, 3, 2,24.000,3.672,8.043,0.000,12,nsp4
12,0.108,0.000,20,56.975,38.860,18.114,260.980,8.000,4.130,0.615,0.450,-23.800, 4.600, 5, 0,58.824,2.043,5.960,0.000,13,nsp4
13,0.101,0.036,21,66.129,11.786,54.343,242.594,16.889,4.141,0.737,0.857,60.400, 4.600, 2, 1,20.000,2.284,7.604,0.180,14,nsp4
14,0.098,0.412,50,213.812,49.575,164.237,733.807,25.793,4.118,0.454,0.580,30.062, 3.625, 5, -1,37.500,4.954,14.974,0.690,15,nsp4
15,0.070,0.002,16,81.827,34.729,47.098,246.248,9.000,3.734,0.446,0.625,36.778, 4.556, 4, 4,43.750,3.125,5.990,0.300,16,nsp4
16,0.057,0.024,17,73.091,0.000,73.091,189.082,16.000,3.679,0.366,1.000,79.750, 5.125, 2, 0,0.000,2.546,5.695,0.000,17,nsp4
17,0.054,0.006,17,67.219,3.214,64.004,165.375,11.000,3.741,0.502,0.706,66.857, 4.714, 3, 0,23.529,2.254,4.997,0.000,18,nsp4
18,0.054,0.000,17,64.209,46.095,18.114,237.942,1.000,3.941,0.466,0.118,14.167, 4.167, 4, -1,50.000,2.085,5.903,0.171,19,nsp4
19,0.042,0.000,16,55.836,26.853,28.983,128.239,0.000,3.577,0.397,0.000,19.200, 4.000, 3, 1,53.846,1.718,4.337,0.554,20,nsp4
20,0.030,0.003,15,70.602,20.535,50.067,236.710,11.000,3.942,0.553,0.800,43.000, 4.500, 3, 1,35.294,2.343,6.614,0.000,21,nsp4
21,0.028,0.001,15,82.537,26.986,55.551,263.004,6.000,4.116,0.653,0.467,34.750, 3.625, 4, 0,37.500,2.833,6.101,0.000,22,nsp4
22,0.025,0.005,16,90.927,25.715,65.212,299.311,12.000,4.114,0.652,0.812,38.667, 4.500, 3, 1,23.529,3.055,6.892,0.000,23,nsp4
23,0.018,0.001,21,119.326,50.491,68.835,397.042,7.000,3.968,0.409,0.381,27.125, 3.375, 2, -1,46.667,3.692,8.878,0.720,24,nsp4
24,0.012,0.000,22,126.756,48.260,78.496,361.499,2.000,4.016,0.490,0.136,29.333, 5.000, 6, 1,36.842,3.749,6.832,0.442,25,nsp4
25,-0.003,0.011,15,78.563,10.936,67.627,283.366,14.000,4.261,0.615,1.000,76.000, 4.800, 1, 1,6.667,2.339,5.826,0.320,26,nsp4
26,-0.004,0.000,16,96.251,68.476,27.775,266.596,3.000,4.112,0.638,0.250,9.667, 5.000, 5, 2,50.000,2.945,7.286,0.000,27,nsp4
27,-0.007,0.001,18,83.089,31.161,51.928,215.698,8.000,3.896,0.442,0.500,51.429, 5.571, 5, 1,40.000,2.151,4.946,0.400,28,nsp4
28,-0.011,0.000,15,60.052,32.277,27.775,165.279,2.000,4.164,0.537,0.200,33.800, 4.400, 3, -1,54.545,1.432,3.446,0.327,29,nsp4
29,-0.014,0.000,21,86.503,45.444,41.059,235.514,7.000,4.023,0.495,0.381,6.800, 4.600, 4, -1,50.000,1.895,5.115,0.171,30,nsp4
30,-0.085,0.009,16,90.458,1.094,89.364,169.150,14.000,3.929,0.453,0.938,41.714, 4.857, 2, 0,15.385,1.877,4.582,0.554,31,nsp4
0,0.302,0.004,45,106.348,41.136,65.212,276.606,15.000,3.770,0.409,0.356,7.286, 4.286, 4, 0,40.000,3.036,6.968,0.570,1,M_protein
1,0.277,0.954,44,164.101,1.071,163.030,511.921,31.767,4.017,0.598,0.977,76.636, 5.000, 2, 1,8.571,5.341,13.870,0.536,2,M_protein
2,0.252,0.001,24,71.785,24.688,47.098,299.052,10.667,3.765,0.508,0.500,21.429, 4.857, 5, 0,35.000,3.485,8.200,0.150,3,M_protein
3,0.218,0.021,31,112.109,33.614,78.496,360.213,13.667,4.040,0.554,0.581,37.000, 4.375, 4, 2,40.909,4.105,10.839,0.170,4,M_protein
4,0.181,0.001,31,91.407,43.102,48.305,282.113,7.000,3.903,0.510,0.258,19.286, 3.857, 3, -1,40.909,2.734,6.153,0.750,5,M_protein
5,0.152,0.001,17,33.129,6.562,26.568,110.196,3.000,3.706,0.459,0.235,36.400, 4.400, 2, 1,35.714,1.623,4.038,0.750,6,M_protein
6,0.143,0.000,25,98.797,61.361,37.436,330.177,1.000,4.097,0.699,0.080,-14.222, 3.889, 7, 1,63.636,3.362,8.999,0.307,7,M_protein
7,0.139,0.003,25,69.252,16.116,53.136,293.132,11.000,4.190,0.682,0.480,17.667, 3.667, 4, 1,38.889,2.082,5.963,0.708,8,M_protein
8,0.121,0.000,15,80.387,27.251,53.136,271.633,4.000,4.020,0.537,0.333,17.000, 5.400, 4, 4,31.250,3.578,7.447,0.000,9,M_protein
9,0.116,0.000,15,104.654,37.027,67.627,365.597,0.000,3.927,0.628,0.133,-1.200, 5.000, 4, 3,42.857,4.560,11.491,0.464,10,M_protein
10,0.102,0.010,18,75.808,2.143,73.665,208.862,13.000,3.938,0.659,0.778,97.500, 5.750, 1, 0,25.000,2.846,5.566,0.750,11,M_protein
11,0.077,0.020,18,71.136,1.094,70.042,194.196,16.000,3.898,0.585,0.944,63.800, 6.400, 3, 1,18.750,2.368,5.119,0.750,12,M_protein
12,0.065,0.016,27,178.000,29.106,148.894,560.038,9.067,4.018,0.632,0.556,60.200, 4.600, 4, 0,30.769,5.555,12.655,0.462,13,M_protein
13,0.055,0.005,19,60.408,9.687,50.720,203.104,14.000,4.157,0.552,0.789,15.600, 5.000, 4, 0,29.412,1.530,4.539,0.794,14,M_protein
14,0.052,0.002,18,54.233,10.759,43.475,134.923,12.000,3.822,0.615,0.722,54.333, 5.333, 2, 0,18.750,1.342,2.697,0.750,15,M_protein
15,0.039,0.012,23,127.080,40.131,86.949,350.629,15.000,3.887,0.479,0.696,35.556, 4.111, 5, -1,38.095,3.744,8.334,0.821,16,M_protein
16,0.039,0.006,15,98.209,6.429,91.780,329.111,10.000,3.970,0.707,0.733,80.800, 5.400, 2, 0,25.000,3.478,7.261,0.281,17,M_protein
0,0.383,0.001,33,60.444,31.382,29.062,270.080,2.000,3.694,0.404,0.091,19.615, 3.769, 5, -2,59.091,3.775,9.526,0.580,1,nsp2
1,0.375,0.038,43,119.632,41.136,78.496,432.683,12.625,3.918,0.497,0.372,5.643, 4.214, 8, 2,40.625,5.032,12.424,0.469,2,nsp2
2,0.223,0.064,28,83.687,31.205,52.482,283.231,20.000,3.849,0.432,0.750,46.091, 4.636, 3, 0,18.182,3.521,7.315,0.580,3,nsp2
3,0.212,0.419,46,138.100,55.981,82.119,449.555,27.267,3.939,0.456,0.652,11.000, 4.500, 7, -2,33.333,3.806,9.835,0.306,4,nsp2
4,0.190,0.006,50,173.983,49.597,124.386,642.166,12.667,4.085,0.574,0.300,25.000, 3.571, 4, -1,38.462,4.414,9.234,0.385,5,nsp2
5,0.186,0.012,19,36.005,11.852,24.153,135.770,11.000,3.690,0.319,0.632,63.111, 5.000, 3, 2,37.500,2.098,5.790,0.750,6,nsp2
6,0.176,0.000,18,44.416,33.547,10.869,263.235,2.000,3.872,0.602,0.167,1.500, 4.625, 6, 0,62.500,2.452,6.704,0.141,7,nsp2
7,0.173,0.001,20,107.303,69.866,37.436,397.162,4.571,3.949,0.673,0.350,10.250, 4.125, 6, -2,47.826,4.883,12.047,0.000,8,nsp2
8,0.159,0.129,28,101.567,61.715,39.852,322.345,20.818,3.692,0.406,0.786,43.818, 4.182, 4, 0,29.167,3.622,11.031,0.688,9,nsp2
9,0.148,0.004,17,45.055,16.072,28.983,125.007,9.000,3.592,0.405,0.588,19.000, 4.143, 4, -1,33.333,2.301,6.476,0.000,10,nsp2
10,0.139,0.000,16,50.704,31.382,19.322,177.899,5.000,3.699,0.480,0.375,-6.143, 3.857, 5, 3,46.667,2.532,6.378,0.250,11,nsp2
11,0.138,0.000,21,84.615,50.801,33.814,283.477,3.000,3.933,0.482,0.190,33.375, 4.000, 3, 0,50.000,3.433,7.814,0.167,12,nsp2
12,0.137,0.000,20,61.540,38.595,22.945,240.569,4.000,4.025,0.655,0.250,-4.000, 4.000, 4, -2,50.000,2.553,5.417,0.500,13,nsp2
13,0.136,0.004,36,146.511,77.676,68.835,541.829,11.692,4.054,0.610,0.361,-17.333, 4.000, 5, 0,44.828,4.366,11.534,0.750,14,nsp2
14,0.130,0.013,22,112.679,17.276,95.403,443.780,13.500,4.077,0.620,0.727,8.333, 4.444, 4, 1,29.167,4.429,9.049,0.156,15,nsp2
15,0.119,0.018,33,133.081,37.678,95.403,407.337,12.000,3.811,0.461,0.394,15.308, 4.154, 8, 3,33.333,3.991,9.433,0.389,16,nsp2
16,0.119,0.050,29,168.479,48.924,119.555,507.354,15.714,3.850,0.611,0.724,13.111, 4.444, 6, 2,35.484,5.882,11.807,0.798,17,nsp2
17,0.115,0.000,22,127.249,46.338,80.911,441.451,4.000,3.979,0.656,0.273,-5.250, 4.250, 7, 1,43.478,4.833,9.464,0.359,18,nsp2
18,0.097,0.001,15,78.206,22.656,55.551,344.264,4.000,3.955,0.769,0.333,-4.167, 3.500, 3, 1,41.176,3.359,6.256,0.000,19,nsp2
19,0.095,0.006,19,70.922,20.380,50.542,154.224,12.000,3.601,0.462,0.684,32.833, 3.167, 2, -1,38.889,2.645,6.410,0.833,20,nsp2
20,0.094,0.001,19,65.512,23.661,41.851,200.335,5.000,3.802,0.572,0.316,25.444, 4.556, 5, 0,31.579,2.365,4.282,0.829,21,nsp2
21,0.091,0.071,30,179.182,56.004,123.178,503.740,13.158,3.927,0.505,0.633,29.071, 3.286, 5, 1,35.294,5.900,13.566,0.904,22,nsp2
22,0.090,0.001,21,81.720,33.414,48.305,263.710,5.000,3.844,0.466,0.286,14.444, 4.000, 6, 3,50.000,2.811,8.484,0.625,23,nsp2
23,0.079,0.000,21,91.493,29.350,62.143,289.658,2.000,4.025,0.496,0.143,59.333, 4.500, 1, 1,33.333,3.087,8.047,0.417,24,nsp2
24,0.070,0.001,33,162.123,99.327,62.797,519.420,10.000,4.023,0.552,0.333,19.111, 4.778, 7, 0,38.710,4.574,11.318,0.871,25,nsp2
25,0.058,0.000,21,63.797,39.644,24.153,185.198,7.000,3.878,0.523,0.381,44.500, 4.333, 1, -1,46.667,1.700,3.678,0.550,26,nsp2
26,0.055,0.000,18,68.619,31.183,37.436,191.462,2.000,3.857,0.411,0.167,19.429, 4.857, 4, 0,56.250,2.197,4.391,0.703,27,nsp2
27,0.032,0.003,20,80.596,23.838,56.759,275.082,8.000,3.960,0.531,0.450,12.500, 5.167, 5, 1,23.529,2.264,6.835,0.000,28,nsp2
28,0.031,0.000,15,48.251,28.929,19.322,94.897,3.000,3.645,0.431,0.267,28.400, 4.000, 3, -1,53.333,1.367,2.780,0.400,29,nsp2
29,0.023,0.001,27,146.097,49.486,96.610,439.603,8.600,3.978,0.479,0.370,9.000, 5.250, 7, 2,40.909,4.170,9.142,0.477,30,nsp2
30,0.005,0.000,20,101.857,49.929,51.928,310.554,3.000,4.122,0.646,0.200,32.429, 4.429, 4, 1,47.368,2.859,6.909,0.750,31,nsp2
31,-0.040,0.001,23,156.792,58.975,97.818,590.411,6.000,4.156,0.569,0.348,43.786, 3.857, 4, 2,40.000,4.304,10.872,0.750,32,nsp2
0,0.454,0.136,51,84.520,19.308,65.212,390.929,15.222,3.943,0.597,0.353,39.800, 3.600, 4, -1,35.484,3.656,8.380,1.000,1,PL-PRO_C_terminal
1,0.289,0.000,48,131.942,70.353,61.589,607.526,11.000,3.975,0.477,0.250,14.636, 4.818, 7, 3,51.515,4.069,11.902,0.515,2,PL-PRO_C_terminal
2,0.224,0.001,26,60.638,29.239,31.398,159.395,1.000,3.669,0.442,0.077,16.571, 4.143, 4, 0,50.000,2.888,7.137,0.550,3,PL-PRO_C_terminal
3,0.208,0.053,26,104.344,25.848,78.496,386.606,12.000,3.931,0.695,0.500,16.714, 3.857, 3, 0,39.130,4.532,9.378,0.000,4,PL-PRO_C_terminal
4,0.173,0.007,27,90.773,36.430,54.343,337.526,10.000,3.858,0.574,0.407,13.125, 3.250, 6, -2,45.455,3.457,8.350,1.000,5,PL-PRO_C_terminal
5,0.172,0.095,19,9.661,0.000,9.661,64.200,18.000,3.608,0.434,1.000,91.500, 5.500, 1, 0,14.286,0.824,2.155,1.000,6,PL-PRO_C_terminal
6,0.144,0.002,23,73.196,34.552,38.644,191.590,5.000,3.677,0.361,0.261,31.125, 4.500, 5, 1,52.941,2.844,6.759,0.353,7,PL-PRO_C_terminal
7,0.143,0.000,26,99.802,62.366,37.436,290.622,3.000,3.696,0.514,0.154,-2.286, 3.286, 3, 1,50.000,3.684,9.510,0.955,8,PL-PRO_C_terminal
8,0.141,0.000,23,100.540,71.557,28.983,295.621,0.000,3.887,0.506,0.000,-12.300, 3.800, 9, 3,63.636,3.977,8.139,0.500,9,PL-PRO_C_terminal
9,0.124,0.000,26,130.676,78.748,51.928,408.273,0.667,3.932,0.535,0.115,-26.333, 3.333, 5, 1,50.000,4.702,11.391,1.000,10,PL-PRO_C_terminal
10,0.118,0.010,22,90.060,45.377,44.682,217.827,11.000,3.659,0.504,0.545,5.429, 4.286, 6, -1,31.579,3.433,8.328,0.000,11,PL-PRO_C_terminal
11,0.118,0.002,21,47.997,21.429,26.568,155.575,7.000,3.749,0.481,0.381,30.125, 3.750, 4, -2,33.333,1.700,4.466,0.000,12,PL-PRO_C_terminal
12,0.112,0.000,15,77.825,46.427,31.398,463.999,0.000,4.215,0.659,0.067,-0.200, 4.500, 7, 1,63.158,3.523,7.163,0.211,13,PL-PRO_C_terminal
13,0.109,0.473,32,125.470,28.168,97.303,359.216,20.636,3.847,0.625,0.688,28.500, 4.750, 5, 3,30.769,3.752,9.360,0.923,14,PL-PRO_C_terminal
14,0.098,0.008,17,60.021,12.924,47.098,216.901,10.000,3.823,0.516,0.647,64.750, 4.125, 1, 1,26.667,2.407,5.392,0.333,15,PL-PRO_C_terminal
15,0.080,0.000,18,55.392,34.862,20.530,180.482,1.000,3.729,0.495,0.111,14.571, 4.571, 5, 1,64.286,1.917,4.407,0.571,16,PL-PRO_C_terminal
16,0.068,0.000,22,58.587,36.850,21.737,143.535,0.000,3.932,0.570,0.045,-10.400, 3.400, 4, 0,50.000,1.509,3.466,0.438,17,PL-PRO_C_terminal
17,0.054,0.000,17,61.757,29.151,32.606,195.714,2.000,3.979,0.647,0.176,-11.833, 4.000, 5, 2,50.000,2.035,4.850,0.000,18,PL-PRO_C_terminal
18,0.053,0.001,20,119.169,62.410,56.759,405.004,2.000,3.995,0.633,0.200,14.000, 4.500, 6, -1,50.000,4.100,11.339,0.083,19,PL-PRO_C_terminal
19,0.045,0.000,20,93.689,42.969,50.720,278.632,2.000,3.923,0.602,0.150,16.750, 4.125, 5, 0,44.444,2.978,5.781,0.222,20,PL-PRO_C_terminal
20,0.042,0.000,16,74.552,51.607,22.945,208.339,0.000,3.928,0.555,0.062,-20.429, 4.000, 7, 0,53.333,2.529,5.401,0.000,21,PL-PRO_C_terminal
21,0.030,0.003,15,60.255,13.079,47.177,163.108,9.000,3.843,0.587,0.667,15.500, 5.167, 4, 1,35.714,1.923,4.029,0.929,22,PL-PRO_C_terminal
22,0.019,0.000,20,77.761,34.287,43.475,198.777,1.000,4.101,0.491,0.100,19.500, 4.833, 5, 0,53.333,2.028,4.951,0.400,23,PL-PRO_C_terminal
23,-0.004,0.001,17,77.143,30.045,47.098,175.779,5.000,3.778,0.421,0.353,51.333, 5.167, 4, 0,46.154,2.069,4.677,0.000,24,PL-PRO_C_terminal
24,-0.011,0.000,15,100.704,46.360,54.343,397.237,5.000,3.981,0.471,0.400,13.167, 5.333, 5, 2,33.333,3.176,6.672,0.611,25,PL-PRO_C_terminal
