,Score,Druggability Score,Number of Alpha Spheres,Total SASA,Polar SASA,Apolar SASA,Volume,Mean local hydrophobic density,Mean alpha sphere radius :,Mean alp. sph. solvent access,Apolar alpha sphere proportion,Hydrophobicity score:,Volume score: ,Polarity score:,Charge score :,Proportion of polar atoms: ,Alpha sphere density,Cent. of mass - Alpha Sphere max dist: ,Flexibility,pocket_number,protein
11,0.044,0.003,36,99.083,40.959,58.124,365.324,9.667,3.818,0.416,0.333,34.667, 4.533, 9, -1,37.500,4.125,9.131,0.129,12,nsp2
12,0.026,0.000,16,62.508,33.525,28.983,231.536,4.000,3.725,0.693,0.312,2.400, 4.800, 4, 1,52.941,3.044,7.706,0.118,13,nsp2
13,0.011,0.001,16,82.223,27.880,54.343,417.019,11.000,4.092,0.585,0.750,30.125, 5.000, 4, 0,25.000,3.683,7.365,0.126,14,nsp2
14,0.004,0.015,35,92.117,35.358,56.759,247.785,18.600,3.689,0.449,0.571,37.000, 3.833, 3, 0,30.435,3.597,8.888,0.318,15,nsp2
15,-0.003,0.003,21,60.427,24.931,35.496,231.773,12.000,3.875,0.635,0.619,13.125, 4.000, 5, 3,38.095,2.497,5.893,0.098,16,nsp2
16,-0.007,0.002,22,61.116,24.887,36.229,233.546,9.000,4.054,0.619,0.455,39.500, 4.667, 3, 0,43.750,2.502,6.281,0.330,17,nsp2
17,-0.010,0.006,57,190.563,114.482,76.081,620.153,11.733,4.074,0.560,0.263,2.714, 4.214, 11, 1,46.154,6.881,16.470,0.167,18,nsp2
18,-0.010,0.000,23,39.909,29.040,10.869,104.159,2.000,3.700,0.442,0.130,21.556, 3.444, 6, 1,56.250,1.491,3.743,0.081,19,nsp2
19,-0.012,0.000,26,81.221,59.483,21.737,233.386,0.000,3.815,0.440,0.000,16.500, 4.300, 7, 1,61.111,3.169,7.616,0.358,20,nsp2
20,-0.012,0.011,33,112.937,34.442,78.496,306.038,11.692,3.687,0.561,0.394,30.750, 3.500, 4, 1,42.857,4.354,10.351,0.051,21,nsp2
21,-0.016,0.001,16,85.881,56.898,28.983,220.193,4.000,3.781,0.485,0.312,-12.429, 4.714, 6, 0,56.250,3.630,8.053,0.319,22,nsp2
22,-0.023,0.000,20,38.535,21.628,16.907,90.699,1.000,3.647,0.404,0.100,7.222, 4.333, 6, 1,50.000,1.367,3.071,0.454,23,nsp2
23,-0.024,0.001,20,73.337,43.146,30.191,256.557,12.000,3.974,0.667,0.650,3.833, 5.167, 6, 1,50.000,2.873,6.893,0.075,24,nsp2
24,-0.024,0.002,47,148.931,86.867,62.064,487.234,11.059,3.918,0.467,0.362,22.077, 4.154, 7, 0,48.387,5.243,11.385,0.245,25,nsp2
25,-0.027,0.001,32,100.933,58.191,42.742,358.764,10.000,4.008,0.587,0.344,-0.333, 3.222, 6, -1,45.833,3.685,10.177,0.177,26,nsp2
26,-0.028,0.149,55,197.268,87.948,109.320,738.683,23.037,3.954,0.461,0.491,41.316, 3.368, 7, -1,38.462,6.571,17.432,0.089,27,nsp2
27,-0.029,0.000,15,52.099,27.946,24.153,239.669,4.000,3.883,0.656,0.333,-0.286, 4.571, 5, 2,40.000,2.025,4.246,0.352,28,nsp2
28,-0.034,0.008,22,53.597,16.160,37.436,240.073,19.000,3.804,0.422,0.909,28.400, 5.800, 4, 0,18.750,1.861,4.801,0.039,29,nsp2
29,-0.035,0.039,23,74.583,11.786,62.797,263.759,21.913,3.909,0.489,1.000,49.333, 5.667, 3, 2,16.667,2.718,7.649,0.073,30,nsp2
30,-0.036,0.000,16,62.736,31.338,31.398,237.806,5.000,3.950,0.588,0.375,8.300, 3.500, 4, 1,31.250,2.372,5.228,0.119,31,nsp2
31,-0.041,0.001,23,61.775,19.508,42.267,178.224,4.000,3.763,0.490,0.217,32.714, 5.000, 4, 3,31.579,2.121,5.004,0.169,32,nsp2
32,-0.052,0.002,23,72.761,17.210,55.551,254.803,11.000,3.944,0.488,0.522,30.333, 5.167, 4, 0,35.294,2.472,5.194,0.162,33,nsp2
33,-0.055,0.001,24,90.998,35.447,55.551,317.302,12.000,3.965,0.602,0.542,22.455, 4.455, 6, 0,38.095,3.176,6.304,0.193,34,nsp2
34,-0.059,0.000,20,69.165,39.865,29.300,253.745,5.000,4.122,0.529,0.300,42.000, 4.000, 2, 1,56.250,2.288,5.830,0.298,35,nsp2
35,-0.065,0.000,22,95.862,53.595,42.267,338.920,0.000,3.951,0.589,0.000,-9.143, 2.714, 5, -2,52.632,3.310,6.582,0.171,36,nsp2
36,-0.069,0.000,19,66.263,25.936,40.327,252.682,4.000,4.273,0.649,0.263,33.167, 3.833, 3, -1,35.294,2.125,5.210,0.091,37,nsp2
37,-0.070,0.001,23,97.246,42.903,54.343,355.498,6.000,3.928,0.543,0.304,-1.375, 4.500, 5, -1,33.333,3.237,7.302,0.143,38,nsp2
38,-0.070,0.030,42,140.596,47.609,92.987,371.958,20.929,3.920,0.456,0.667,66.167, 4.750, 4, 1,30.769,4.700,10.559,0.058,39,nsp2
39,-0.086,0.000,15,88.525,51.089,37.436,320.115,3.000,4.131,0.731,0.267,33.167, 4.000, 3, 1,43.750,2.984,6.530,0.177,40,nsp2
40,-0.094,0.003,47,175.933,93.814,82.119,496.642,13.176,3.851,0.468,0.362,1.700, 4.800, 8, -1,44.118,5.573,12.424,0.091,41,nsp2
41,-0.101,0.006,64,209.621,106.893,102.728,704.861,16.615,3.920,0.420,0.406,39.263, 3.789, 7, -2,43.590,5.895,14.468,0.527,42,nsp2
42,-0.112,0.048,40,189.321,51.651,137.670,822.916,19.500,4.081,0.648,0.700,32.786, 4.500, 5, 0,30.952,5.955,13.657,0.043,43,nsp2
43,-0.117,0.000,26,78.172,27.946,50.225,259.339,4.000,4.177,0.500,0.192,35.125, 3.375, 2, 1,44.444,1.940,4.342,0.453,44,nsp2
44,-0.127,0.000,34,115.702,73.435,42.267,469.804,5.000,4.087,0.555,0.176,3.667, 3.778, 7, -1,48.000,3.066,8.106,0.220,45,nsp2
45,-0.140,0.010,29,97.922,27.880,70.042,271.543,20.000,4.029,0.576,0.724,59.900, 4.400, 3, -1,26.087,2.449,5.990,0.122,46,nsp2
46,-0.153,0.004,19,106.863,28.367,78.496,292.582,9.818,3.951,0.659,0.579,60.857, 4.714, 3, 0,19.048,2.950,7.822,0.249,47,nsp2
47,-0.156,0.020,30,138.508,41.898,96.610,471.968,15.882,4.008,0.637,0.567,57.375, 5.000, 4, -1,33.333,3.858,9.884,0.512,48,nsp2
48,-0.205,0.020,34,133.573,52.524,81.049,366.349,24.000,4.190,0.534,0.735,29.500, 3.143, 5, 0,33.333,3.142,7.345,0.025,49,nsp2
49,-0.206,0.001,18,131.882,57.009,74.873,399.957,3.000,4.065,0.537,0.222,-5.143, 2.571, 4, -2,43.750,3.531,10.566,0.284,50,nsp2
50,-0.228,0.002,56,221.309,117.453,103.856,633.899,4.250,3.994,0.479,0.143,29.625, 3.875, 8, -1,50.000,5.562,14.400,0.072,51,nsp2
51,-0.406,0.013,45,239.756,83.972,155.784,611.403,25.655,4.077,0.451,0.644,33.769, 3.462, 4, 0,34.375,4.928,11.198,0.108,52,nsp2
0,0.112,0.799,50,109.059,22.921,86.137,357.059,42.917,3.676,0.425,0.960,64.364, 4.727, 3, 1,21.212,4.050,10.281,0.181,1,ORF3a
1,0.076,0.017,44,140.675,65.802,74.873,466.172,14.000,3.790,0.452,0.364,39.538, 4.077, 5, 1,50.000,5.292,12.033,0.230,2,ORF3a
2,0.032,0.001,16,20.920,6.429,14.492,75.700,8.000,3.698,0.455,0.562,42.000, 3.000, 3, 0,23.077,1.027,2.710,0.256,3,ORF3a
3,0.016,0.025,33,94.726,15.023,79.703,361.848,25.000,4.080,0.522,0.788,67.857, 5.000, 3, 0,21.739,3.295,6.842,0.148,4,ORF3a
4,0.013,0.001,22,36.934,16.404,20.530,100.294,10.000,3.690,0.464,0.500,42.167, 4.667, 2, 2,40.000,1.260,3.046,0.159,5,ORF3a
5,0.007,0.043,22,89.873,15.000,74.873,222.795,17.400,3.810,0.602,0.909,45.143, 5.286, 4, 1,26.316,3.523,10.407,0.145,6,ORF3a
6,0.006,0.007,16,48.191,1.094,47.098,179.176,14.000,3.787,0.436,0.938,73.600, 6.000, 2, 1,14.286,1.959,5.691,0.044,7,ORF3a
7,0.003,0.008,29,75.290,18.215,57.075,192.674,19.000,3.692,0.411,0.690,73.444, 4.778, 2, 0,23.810,2.492,5.099,0.182,8,ORF3a
8,0.001,0.001,20,86.687,43.212,43.475,242.719,9.000,3.901,0.608,0.500,31.833, 4.667, 3, 0,44.444,3.383,8.693,0.310,9,ORF3a
9,-0.011,0.010,18,92.609,22.567,70.042,256.085,14.000,3.800,0.631,0.889,34.000, 3.667, 3, 1,36.842,3.597,7.754,0.341,10,ORF3a
10,-0.013,0.787,121,307.775,101.270,206.504,955.988,40.800,3.935,0.434,0.537,35.550, 4.550, 13, 0,31.818,6.855,17.040,0.155,11,ORF3a
11,-0.014,0.010,19,69.656,3.237,66.420,241.926,16.000,4.158,0.636,0.895,86.600, 5.400, 1, 0,20.000,2.556,6.025,0.246,12,ORF3a
12,-0.014,0.000,19,47.380,38.927,8.453,109.949,0.000,3.775,0.468,0.053,-5.429, 3.429, 4, -2,57.143,1.546,3.265,0.341,13,ORF3a
13,-0.024,0.001,20,94.952,35.779,59.174,314.237,9.000,3.917,0.611,0.500,9.000, 4.286, 5, 2,35.294,3.471,7.506,0.202,14,ORF3a
14,-0.046,0.000,17,66.577,32.763,33.814,193.619,10.000,3.802,0.513,0.647,10.750, 5.250, 3, 2,38.462,2.133,4.305,0.143,15,ORF3a
15,-0.058,0.000,18,115.005,76.361,38.644,338.095,1.000,3.873,0.490,0.111,5.667, 5.167, 5, 1,50.000,3.982,10.256,0.202,16,ORF3a
16,-0.059,0.001,15,55.582,30.222,25.360,156.556,7.000,3.853,0.574,0.533,30.000, 5.500, 3, 1,33.333,1.599,4.556,0.099,17,ORF3a
17,-0.077,0.056,33,112.489,5.446,107.043,319.834,26.000,3.888,0.525,0.818,57.556, 5.333, 4, 2,25.000,3.075,6.636,0.055,18,ORF3a
18,-0.083,0.001,16,56.170,15.111,41.059,146.326,13.000,3.963,0.490,0.875,72.600, 5.400, 2, 0,18.182,1.330,2.839,0.189,19,ORF3a
19,-0.099,0.010,30,159.089,57.252,101.837,514.980,16.900,4.064,0.564,0.667,59.571, 4.714, 2, -1,32.000,4.729,11.336,0.359,20,ORF3a
20,-0.105,0.001,30,155.357,61.162,94.195,521.710,9.091,4.185,0.508,0.367,14.100, 4.100, 5, -3,45.833,4.654,12.216,0.529,21,ORF3a
21,-0.113,0.003,49,272.150,134.818,137.333,808.631,8.947,3.926,0.483,0.388,27.588, 4.059, 9, 1,43.182,8.126,20.335,0.177,22,ORF3a
0,0.964,0.982,100,32.994,0.000,32.994,824.312,67.040,3.940,0.461,1.000,9.150, 3.850, 16, 0,0.000,6.229,16.490,0.451,1,PL-PRO
1,0.816,0.945,77,28.490,0.000,28.490,682.269,56.182,3.980,0.555,1.000,49.571, 4.286, 6, 1,0.000,5.837,16.630,0.235,2,PL-PRO
