,Score,Druggability Score,Number of Alpha Spheres,Total SASA,Polar SASA,Apolar SASA,Volume,Mean local hydrophobic density,Mean alpha sphere radius :,Mean alp. sph. solvent access,Apolar alpha sphere proportion,Hydrophobicity score:,Volume score: ,Polarity score:,Charge score :,Proportion of polar atoms: ,Alpha sphere density,Cent. of mass - Alpha Sphere max dist: ,Flexibility,pocket_number,protein
19,-0.031,0.000,22,115.190,70.508,44.682,403.672,2.000,4.037,0.660,0.136,27.778, 5.222, 5, 2,54.545,4.212,10.712,0.279,20,nsp4
20,-0.033,0.001,15,70.209,18.281,51.928,256.886,11.000,4.047,0.734,0.800,22.500, 4.000, 2, 2,29.412,2.632,5.353,0.248,21,nsp4
21,-0.040,0.002,22,79.052,47.653,31.398,139.978,9.000,3.632,0.418,0.455,27.111, 4.000, 4, 0,47.059,2.674,5.447,0.285,22,nsp4
22,-0.044,0.000,15,60.023,34.663,25.360,221.358,7.000,4.146,0.635,0.533,29.400, 4.400, 3, 1,41.667,2.056,3.850,0.229,23,nsp4
23,-0.047,0.001,18,82.335,38.860,43.475,302.940,13.000,4.028,0.644,0.778,61.571, 5.857, 3, 2,33.333,2.853,6.722,0.087,24,nsp4
24,-0.047,0.008,21,91.358,22.523,68.835,302.483,15.647,3.787,0.463,0.810,71.222, 4.111, 1, 0,33.333,3.141,8.745,0.214,25,nsp4
25,-0.048,0.001,18,63.872,10.737,53.136,219.666,10.000,3.932,0.732,0.611,27.000, 5.200, 4, 1,31.579,2.084,5.433,0.210,26,nsp4
26,-0.056,0.002,23,98.836,30.001,68.835,333.583,8.000,3.941,0.612,0.391,43.125, 3.875, 3, 0,38.095,3.339,9.272,0.164,27,nsp4
27,-0.073,0.001,23,81.307,26.964,54.343,200.810,12.000,3.886,0.459,0.565,70.375, 3.875, 0, 0,35.294,2.392,5.371,0.449,28,nsp4
28,-0.075,0.001,23,70.824,12.858,57.966,220.540,6.000,3.944,0.512,0.304,50.000, 3.286, 1, 0,31.250,1.914,5.059,0.175,29,nsp4
29,-0.075,0.000,20,70.587,54.888,15.699,209.787,0.000,3.819,0.545,0.000,-5.625, 3.000, 7, -1,64.706,1.986,6.789,0.339,30,nsp4
30,-0.085,0.000,18,101.255,39.666,61.589,275.524,4.667,3.834,0.600,0.333,56.286, 3.857, 1, 0,36.842,3.279,7.820,0.293,31,nsp4
31,-0.085,0.000,22,86.478,46.626,39.852,171.626,13.000,3.738,0.489,0.636,55.833, 5.000, 2, 1,33.333,2.520,5.174,0.310,32,nsp4
32,-0.086,0.000,22,108.679,50.713,57.966,325.774,6.000,4.034,0.575,0.318,36.800, 3.700, 4, 0,41.176,3.456,8.292,0.303,33,nsp4
33,-0.096,0.000,20,69.029,38.838,30.191,184.477,4.000,3.975,0.533,0.250,18.400, 4.800, 5, 0,42.857,1.713,5.191,0.300,34,nsp4
34,-0.105,0.004,41,176.052,68.573,107.479,635.855,12.667,4.077,0.541,0.366,22.750, 3.917, 7, -2,32.258,5.052,12.494,0.361,35,nsp4
35,-0.110,0.002,18,81.420,15.000,66.420,234.422,14.000,3.982,0.497,0.833,40.444, 4.556, 6, 1,37.500,2.182,5.026,0.043,36,nsp4
36,-0.115,0.001,43,193.146,109.820,83.326,543.787,3.250,3.938,0.437,0.186,9.400, 4.400, 12, 2,53.125,5.657,15.320,0.470,37,nsp4
37,-0.131,0.000,18,93.552,77.853,15.699,254.456,0.000,4.179,0.758,0.056,-7.333, 4.333, 6, 1,64.706,2.446,5.745,0.265,38,nsp4
38,-0.144,0.000,31,119.998,84.977,35.021,368.275,0.000,4.237,0.532,0.000,18.667, 3.111, 5, -1,52.381,2.921,7.068,0.566,39,nsp4
39,-0.158,0.003,23,125.832,38.882,86.949,355.168,20.000,3.998,0.403,0.913,37.500, 4.500, 3, -1,26.316,3.362,7.549,0.251,40,nsp4
40,-0.167,0.005,37,146.188,48.371,97.818,394.219,18.000,4.028,0.448,0.514,51.250, 4.583, 5, -1,28.000,3.525,10.693,0.127,41,nsp4
41,-0.228,0.010,21,155.630,10.715,144.915,318.818,13.600,3.951,0.567,0.714,62.286, 4.429, 1, 0,15.000,4.028,9.620,0.095,42,nsp4
42,-0.265,0.000,40,189.512,147.245,42.267,566.894,2.000,4.032,0.547,0.075,18.308, 4.231, 9, 2,56.667,4.054,9.514,0.273,43,nsp4
43,-0.285,0.000,16,124.172,52.922,71.250,404.189,3.000,4.354,0.524,0.250,36.300, 3.600, 4, 1,43.750,2.205,6.168,0.216,44,nsp4
0,0.376,0.829,70,128.888,54.016,74.873,377.467,27.806,3.706,0.430,0.443,50.059, 4.412, 8, 1,38.462,4.676,12.584,0.115,1,M_protein
1,0.175,0.018,28,83.947,25.981,57.966,221.982,14.000,3.694,0.414,0.536,40.375, 4.875, 5, 0,28.571,3.950,9.762,0.172,2,M_protein
2,0.094,0.018,27,87.570,25.981,61.589,251.761,15.000,3.741,0.411,0.593,36.000, 3.889, 5, 0,35.000,3.264,5.917,0.465,3,M_protein
3,0.059,0.002,18,61.352,14.017,47.335,156.935,7.000,3.764,0.411,0.444,79.750, 5.000, 2, 0,25.000,2.468,5.512,0.170,4,M_protein
4,0.045,0.005,27,105.597,47.631,57.966,374.994,11.000,4.022,0.508,0.444,20.143, 3.571, 4, 1,47.619,3.504,8.432,0.379,5,M_protein
5,0.043,0.267,25,81.447,9.643,71.804,271.165,24.000,3.848,0.401,1.000,65.556, 4.444, 1, 0,11.765,2.603,7.456,0.034,6,M_protein
6,0.042,0.001,15,55.445,20.424,35.021,174.811,5.000,3.853,0.589,0.400,24.714, 4.714, 5, 0,42.857,2.241,5.020,0.125,7,M_protein
7,0.012,0.031,21,80.869,21.695,59.174,249.439,18.000,4.212,0.710,0.905,32.750, 5.500, 3, 1,18.750,2.587,7.057,0.321,8,M_protein
8,-0.001,0.005,28,122.014,48.348,73.665,323.444,12.000,4.080,0.542,0.464,42.714, 4.286, 3, 1,31.818,3.651,8.976,0.417,9,M_protein
9,-0.008,0.001,17,60.891,25.870,35.021,196.422,9.000,4.000,0.594,0.588,4.000, 4.000, 3, 0,33.333,1.786,3.758,0.377,10,M_protein
10,-0.011,0.000,16,66.201,32.387,33.814,195.350,5.000,4.014,0.476,0.375,28.667, 4.500, 4, 1,46.154,2.068,4.503,0.234,11,M_protein
11,-0.028,0.000,22,125.381,74.661,50.720,399.062,3.000,4.058,0.642,0.182,35.900, 4.700, 5, 2,48.000,3.844,8.814,0.319,12,M_protein
12,-0.030,0.007,15,71.729,6.517,65.212,197.190,11.000,3.977,0.496,0.800,28.833, 4.833, 3, 2,35.714,2.192,4.517,0.386,13,M_protein
13,-0.035,0.001,15,81.001,21.828,59.174,246.935,5.000,4.010,0.580,0.400,42.714, 3.571, 1, 1,37.500,2.522,5.084,0.164,14,M_protein
0,0.397,0.360,33,92.400,25.981,66.420,266.449,22.833,3.730,0.457,0.727,62.857, 5.000, 2, 1,22.727,3.638,8.091,0.283,1,ORF6
1,0.363,0.001,29,99.820,52.723,47.098,285.683,4.000,3.740,0.504,0.172,32.556, 4.333, 5, 0,52.381,4.260,11.718,0.355,2,ORF6
2,0.334,0.003,34,143.966,68.618,75.348,502.128,7.091,4.034,0.619,0.324,11.091, 4.182, 7, -4,41.176,4.815,12.639,0.454,3,ORF6
3,0.222,0.000,31,104.887,69.866,35.021,325.036,8.000,4.107,0.583,0.290,18.286, 4.000, 4, -3,47.826,2.530,5.865,0.412,4,ORF6
4,0.216,0.090,27,137.344,31.072,106.271,439.156,16.421,3.995,0.612,0.704,13.286, 4.714, 6, 1,34.783,4.565,11.661,0.141,5,ORF6
5,0.174,0.003,18,106.318,47.144,59.174,306.647,5.778,3.986,0.500,0.500,59.750, 4.875, 3, -2,29.412,4.248,9.884,0.380,6,ORF6
0,0.172,0.674,50,82.756,5.468,77.288,390.666,35.707,3.850,0.447,0.820,67.800, 4.333, 2, -1,18.750,4.215,10.836,0.346,1,nsp2
1,0.166,0.586,94,162.345,55.915,106.430,618.301,36.192,3.854,0.457,0.553,33.095, 4.238, 12, 1,29.630,6.051,14.843,0.328,2,nsp2
2,0.123,0.004,27,31.244,10.715,20.530,132.976,12.000,3.571,0.380,0.481,21.818, 3.273, 4, 1,33.333,2.362,4.937,0.341,3,nsp2
3,0.116,0.004,40,116.241,48.614,67.627,377.015,5.800,3.899,0.587,0.250,6.444, 3.889, 7, -1,44.828,5.510,10.694,0.386,4,nsp2
4,0.103,0.000,21,66.620,36.430,30.191,385.116,5.000,4.110,0.704,0.286,-9.333, 3.333, 5, 0,42.105,3.827,8.010,0.604,5,nsp2
5,0.091,0.002,15,5.981,1.071,4.910,72.014,12.000,3.580,0.384,0.867,55.889, 4.222, 2, 0,16.667,1.267,2.689,0.263,6,nsp2
6,0.084,0.014,24,97.915,19.419,78.496,464.705,12.571,4.015,0.634,0.583,0.111, 5.111, 8, 2,28.000,4.883,13.162,0.527,7,nsp2
7,0.079,0.008,30,102.661,28.996,73.665,358.359,11.889,3.934,0.571,0.600,23.000, 4.100, 5, 0,32.000,4.893,11.811,0.312,8,nsp2
8,0.071,0.002,16,9.525,1.071,8.453,76.324,12.000,3.624,0.430,0.812,44.143, 4.857, 3, 1,23.077,1.168,2.696,0.287,9,nsp2
9,0.069,0.001,24,81.778,20.446,61.331,324.308,2.000,3.867,0.431,0.125,53.917, 4.833, 4, 2,45.000,4.018,7.987,0.537,10,nsp2
10,0.062,0.001,16,86.423,27.902,58.520,342.969,4.750,3.874,0.637,0.500,36.143, 4.429, 3, -3,27.778,4.433,9.165,0.462,11,nsp2
11,0.052,0.001,28,50.923,30.156,20.767,206.594,11.000,3.874,0.519,0.429,9.000, 3.462, 5, 0,52.632,2.392,5.259,0.280,12,nsp2
12,0.025,0.000,16,16.248,5.379,10.869,72.813,3.000,3.684,0.448,0.250,40.889, 4.889, 6, 0,58.333,0.962,1.862,0.253,13,nsp2
13,0.018,0.004,15,45.481,3.214,42.267,207.517,12.000,3.888,0.756,0.867,42.333, 5.000, 1, 0,13.333,2.208,5.257,0.465,14,nsp2
14,0.013,0.002,18,28.873,10.759,18.114,99.357,13.000,3.670,0.438,0.778,39.222, 4.556, 5, 0,30.769,1.326,2.618,0.334,15,nsp2
15,0.010,0.000,16,18.896,12.858,6.038,64.008,0.000,3.554,0.459,0.000,7.125, 4.375, 4, 1,66.667,0.912,1.864,0.288,16,nsp2
16,0.001,0.000,16,97.879,68.817,29.062,356.835,0.000,3.889,0.757,0.000,5.167, 2.917, 7, 0,62.500,4.116,8.869,0.403,17,nsp2
17,-0.004,0.000,19,39.407,22.501,16.907,99.461,3.000,3.626,0.450,0.211,23.000, 4.000, 2, 0,42.857,1.569,3.244,0.496,18,nsp2
18,-0.012,0.003,17,75.081,19.530,55.551,273.456,9.000,3.905,0.706,0.588,30.000, 4.333, 3, 1,41.176,3.118,7.944,0.000,19,nsp2
19,-0.018,0.007,80,150.142,71.646,78.496,598.292,22.500,4.080,0.537,0.300,19.667, 3.133, 7, 1,40.476,3.938,10.047,0.488,20,nsp2
20,-0.027,0.000,24,75.583,51.430,24.153,275.495,1.000,3.898,0.484,0.083,29.250, 3.750, 3, -2,52.632,2.735,6.764,0.489,21,nsp2
21,-0.031,0.001,18,53.825,13.973,39.852,206.372,11.000,3.878,0.647,0.667,38.333, 4.333, 2, 2,31.579,1.946,3.891,0.723,22,nsp2
22,-0.036,0.000,19,98.866,49.354,49.513,383.817,3.000,3.931,0.534,0.211,6.167, 3.333, 4, -2,42.105,3.735,7.290,0.394,23,nsp2
23,-0.037,0.000,21,83.527,36.430,47.098,249.152,4.000,3.944,0.525,0.238,33.200, 4.100, 4, -2,31.579,3.068,6.150,0.468,24,nsp2
24,-0.050,0.030,28,77.064,11.852,65.212,294.398,22.000,3.983,0.590,0.821,59.750, 4.250, 2, 0,15.000,2.405,6.337,0.405,25,nsp2
25,-0.050,0.002,24,75.144,46.161,28.983,163.389,6.000,3.788,0.411,0.292,32.000, 4.333, 5, -1,52.941,2.485,7.099,0.516,26,nsp2
26,-0.050,0.000,25,126.440,61.228,65.212,413.871,3.000,4.021,0.622,0.160,5.000, 4.143, 6, -1,47.826,4.557,9.858,0.507,27,nsp2
27,-0.051,0.054,28,103.430,12.858,90.572,352.745,20.909,4.110,0.656,0.786,19.625, 4.000, 3, 0,36.364,3.561,8.308,0.356,28,nsp2
28,-0.053,0.000,15,80.243,34.353,45.890,223.077,3.000,3.811,0.550,0.267,-24.857, 4.000, 4, 0,43.750,2.970,7.311,0.448,29,nsp2
29,-0.054,0.003,19,47.080,9.643,37.436,120.782,14.000,3.800,0.578,0.789,50.667, 3.667, 2, 0,35.714,1.378,4.036,0.282,30,nsp2
30,-0.058,0.001,18,81.332,25.781,55.551,219.687,4.000,3.893,0.518,0.278,13.556, 4.111, 6, 0,35.294,2.871,6.853,0.323,31,nsp2
31,-0.067,0.000,25,106.117,55.397,50.720,295.888,3.000,4.022,0.556,0.160,11.000, 4.833, 5, 0,42.857,3.598,7.227,0.313,32,nsp2
32,-0.070,0.000,46,159.592,78.681,80.911,618.768,7.800,3.980,0.543,0.217,-5.091, 5.182, 10, 2,48.485,4.813,12.707,0.432,33,nsp2
33,-0.077,0.001,19,77.252,19.286,57.966,269.966,11.000,3.987,0.617,0.632,70.500, 5.375, 3, 1,35.000,2.421,5.367,0.350,34,nsp2
34,-0.078,0.002,16,56.060,15.000,41.059,169.691,12.000,4.057,0.647,0.812,31.400, 3.200, 2, -1,23.077,1.604,3.432,0.566,35,nsp2
35,-0.085,0.005,40,108.314,43.102,65.212,289.691,13.000,3.934,0.431,0.350,5.727, 3.636, 6, 2,45.455,3.009,6.554,0.563,36,nsp2
36,-0.092,0.014,18,95.271,11.786,83.485,229.048,16.000,3.712,0.422,0.944,48.000, 5.000, 4, 0,21.053,3.119,6.308,0.352,37,nsp2
37,-0.107,0.001,26,98.067,46.139,51.928,267.160,6.000,3.946,0.465,0.269,-6.125, 3.375, 5, 1,38.889,2.801,6.299,0.498,38,nsp2
38,-0.108,0.000,26,130.362,68.773,61.589,418.654,9.091,3.937,0.585,0.423,27.778, 4.222, 4, -1,37.500,4.056,9.342,0.478,39,nsp2
39,-0.111,0.013,27,98.402,34.397,64.004,346.906,19.000,4.024,0.541,0.741,33.625, 3.500, 3, 1,38.095,2.712,7.470,0.501,40,nsp2
40,-0.112,0.001,20,84.517,20.513,64.004,301.561,11.000,4.186,0.665,0.600,16.875, 5.125, 6, 0,35.000,2.324,5.951,0.320,41,nsp2
41,-0.117,0.007,25,89.395,19.353,70.042,264.269,17.000,4.092,0.533,0.720,92.333, 5.333, 1, 0,27.778,2.360,6.144,0.330,42,nsp2
42,-0.119,0.001,20,103.247,33.304,69.943,276.656,8.000,3.972,0.564,0.450,27.667, 3.222, 3, 1,38.889,3.053,6.783,0.403,43,nsp2
43,-0.124,0.014,27,115.736,32.409,83.326,359.146,21.000,4.039,0.536,0.815,66.875, 4.750, 3, 1,21.739,3.274,7.218,0.429,44,nsp2
44,-0.124,0.001,27,135.102,32.454,102.648,512.856,8.200,4.001,0.651,0.370,42.500, 4.750, 3, 2,34.783,4.026,9.621,0.350,45,nsp2
45,-0.130,0.000,20,86.524,82.901,3.623,241.957,0.000,4.065,0.477,0.000,27.125, 4.125, 4, 1,73.333,2.197,4.997,0.380,46,nsp2
46,-0.132,0.028,66,282.883,104.728,178.155,879.305,16.667,3.993,0.579,0.318,25.652, 4.174, 11, 3,48.148,8.159,16.533,0.386,47,nsp2
47,-0.139,0.000,16,87.330,35.402,51.928,263.041,2.000,4.152,0.653,0.188,29.571, 3.714, 4, 2,42.857,2.311,5.384,0.422,48,nsp2
48,-0.139,0.001,36,135.462,78.703,56.759,417.134,6.000,3.973,0.467,0.194,29.667, 3.667, 6, 1,46.154,3.516,8.290,0.446,49,nsp2
49,-0.185,0.003,48,224.864,81.156,143.708,608.604,10.750,3.801,0.474,0.333,28.467, 4.733, 9, 0,43.902,6.290,15.075,0.317,50,nsp2
50,-0.473,0.024,179,596.669,221.849,374.820,2073.230,40.337,3.952,0.412,0.531,27.368, 4.368, 23, 2,37.500,9.549,22.993,0.324,51,nsp2
0,0.395,0.982,129,202.362,92.389,109.973,774.484,28.880,3.810,0.415,0.388,21.897, 4.310, 17, 2,38.806,6.823,18.472,0.134,1,ORF3a
1,0.131,0.114,45,82.486,40.219,42.267,271.819,15.529,3.711,0.394,0.378,7.857, 3.929, 10, 1,50.000,3.516,9.678,0.003,2,ORF3a
2,0.092,0.001,22,90.910,46.228,44.682,322.879,3.667,3.836,0.612,0.273,20.100, 4.900, 7, 1,45.455,4.472,9.759,0.259,3,ORF3a
3,0.087,0.002,23,21.338,5.402,15.937,87.800,8.000,3.595,0.406,0.391,24.200, 3.500, 5, -1,43.750,1.400,3.085,0.099,4,ORF3a
4,0.086,0.120,53,184.129,62.654,121.475,807.228,16.621,4.037,0.510,0.547,35.667, 5.400, 10, 4,33.333,6.658,15.288,0.191,5,ORF3a
5,0.054,0.006,42,119.884,75.201,44.682,371.360,14.000,3.781,0.417,0.357,35.615, 4.846, 8, -1,43.333,4.467,9.993,0.285,6,ORF3a
6,0.053,0.049,19,45.890,0.000,45.890,211.827,18.000,3.993,0.625,1.000,99.000, 5.400, 0, 0,7.692,2.294,5.247,0.064,7,ORF3a
7,0.018,0.011,29,77.393,27.880,49.513,235.814,16.000,3.808,0.588,0.586,42.625, 2.875, 2, 0,36.842,2.871,6.720,0.066,8,ORF3a
8,0.003,0.002,18,58.610,36.872,21.737,134.561,6.000,3.646,0.418,0.389,13.000, 5.000, 7, 1,40.000,2.322,5.558,0.046,9,ORF3a
9,-0.023,0.002,24,126.169,85.110,41.059,414.973,4.000,3.863,0.501,0.208,13.500, 3.800, 8, 1,61.905,4.604,12.128,0.292,10,ORF3a
10,-0.041,0.000,15,80.976,37.501,43.475,241.246,4.000,4.001,0.544,0.333,16.556, 2.778, 5, 0,40.000,2.971,7.266,0.245,11,ORF3a
11,-0.049,0.002,20,67.868,26.809,41.059,251.428,7.000,4.253,0.619,0.400,63.500, 5.125, 3, 1,26.316,2.084,5.972,0.080,12,ORF3a
12,-0.108,0.001,51,180.502,103.214,77.288,600.231,8.545,3.955,0.467,0.216,3.462, 4.077, 8, 3,47.222,4.689,11.158,0.176,13,ORF3a
13,-0.148,0.001,33,105.104,60.422,44.682,259.499,11.000,4.251,0.507,0.364,23.900, 5.700, 8, 3,42.857,2.080,5.801,0.108,14,ORF3a
0,1.420,0.992,134,56.338,0.000,56.338,1701.177,52.493,4.003,0.498,1.000,20.143, 3.536, 15, 1,0.000,9.042,21.551,0.584,1,PL-PRO
1,0.795,0.579,60,29.838,0.000,29.838,792.304,35.700,3.905,0.521,1.000,14.722, 3.722, 11, 0,0.000,6.813,14.908,0.294,2,PL-PRO
2,0.668,0.922,66,28.953,0.000,28.953,625.336,47.485,3.910,0.593,1.000,45.643, 4.500, 8, 1,0.000,5.821,16.803,0.325,3,PL-PRO
3,0.638,0.885,70,28.531,0.000,28.531,872.183,61.000,4.103,0.517,1.000,76.909, 6.455, 5, 1,0.000,5.223,11.165,0.491,4,PL-PRO
4,0.541,0.072,22,13.572,0.000,13.572,527.854,15.455,4.068,0.671,1.000,3.500, 4.250, 5, -1,0.000,5.877,13.847,0.181,5,PL-PRO
5,0.496,0.084,26,16.125,0.000,16.125,394.490,18.385,3.855,0.621,1.000,21.250, 3.250, 7, -2,0.000,5.428,13.314,0.760,6,PL-PRO
6,0.464,0.086,32,16.487,0.000,16.487,412.699,23.875,3.809,0.554,1.000,38.000, 5.222, 5, 2,0.000,4.817,11.579,0.395,7,PL-PRO
7,0.442,0.067,30,15.582,0.000,15.582,394.293,23.933,3.901,0.697,1.000,36.000, 4.750, 5, -1,0.000,4.706,10.830,0.680,8,PL-PRO
8,0.421,0.042,27,14.316,0.000,14.316,453.333,22.222,3.974,0.596,1.000,11.400, 3.500, 7, -1,0.000,4.487,10.074,0.604,9,PL-PRO
9,0.411,0.017,20,13.612,0.000,13.612,443.736,16.600,4.154,0.691,1.000,-4.429, 3.857, 5, 2,0.000,4.646,9.362,0.449,10,PL-PRO
10,0.402,0.211,43,16.688,0.000,16.688,331.167,39.767,3.972,0.597,1.000,43.429, 5.000, 5, 1,0.000,3.836,9.125,0.472,11,PL-PRO
11,0.385,0.072,33,15.502,0.000,15.502,334.823,30.606,4.010,0.546,1.000,62.000, 4.400, 4, 0,0.000,3.971,8.841,0.198,12,PL-PRO
12,0.356,0.401,52,18.819,0.000,18.819,302.306,50.692,3.811,0.468,1.000,38.889, 4.667, 5, 2,0.000,3.003,7.992,0.382,13,PL-PRO
13,0.344,0.091,35,13.431,0.000,13.431,386.017,33.143,3.928,0.556,1.000,50.875, 4.875, 3, 0,0.000,3.283,8.675,0.539,14,PL-PRO
14,0.334,0.016,19,9.651,0.000,9.651,356.408,17.579,4.049,0.630,1.000,59.143, 4.000, 1, 0,0.000,3.719,8.981,0.566,15,PL-PRO
15,0.306,0.016,20,12.084,0.000,12.084,289.101,18.300,3.984,0.682,1.000,18.500, 3.833, 3, 0,0.000,3.507,8.745,0.358,16,PL-PRO
